scenario_number,scenario,seed,algorithm,runtime_seconds,true_theta,first_invalid_step,noise_changed_decisions,ordinary_final_angular_error_degrees,ordinary_final_normalized_regret,ordinary_final_zero_regret_rate,ordinary_final_estimate_valid,ordinary_final_status,ordinary_first_threshold_step,ordinary_stable_threshold_step,ordinary_first_angular_threshold_step,ordinary_stable_angular_threshold_step,ordinary_first_joint_threshold_step,ordinary_stable_joint_threshold_step,balanced_final_angular_error_degrees,balanced_final_normalized_regret,balanced_final_zero_regret_rate,balanced_final_estimate_valid,balanced_final_status,balanced_first_threshold_step,balanced_stable_threshold_step,balanced_first_angular_threshold_step,balanced_stable_angular_threshold_step,balanced_first_joint_threshold_step,balanced_stable_joint_threshold_step
2,boundaries-4d,1,Score base model,15.417054499965161,"[0.5205761001365499, 0.4164173827468084, 0.5275812096302577, 0.5265502393485288]",,2,0.8440632783200887,0.00029596931287198313,0.9916666666666667,True,valid,13,13,15,15,15,15,,,,,,,,,,,
2,boundaries-4d,2,Pedro algorithm,0.09158390003722161,"[0.48018916921820515, 0.5127227163827908, 0.49582436387363005, 0.5105800407966338]",,0,2.4311913752647745,0.0015726673544723755,0.975,True,valid,11,11,11,11,11,11,,,,,,,,,,,
2,boundaries-4d,2,Score base model,13.223983700037934,"[0.48018916921820515, 0.5127227163827908, 0.49582436387363005, 0.5105800407966338]",,1,1.8766031990006278,8.949857251856901e-05,0.9916666666666667,True,valid,7,12,7,17,7,17,,,,,,,,,,,
2,boundaries-4d,3,Pedro algorithm,0.08176259999163449,"[0.5363947681037551, 0.5049741487027178, 0.46438630451769636, 0.49155581785722136]",,1,2.425642104094849,0.0009579016379084504,0.9666666666666667,True,valid,10,10,10,10,10,10,,,,,,,,,,,
2,boundaries-4d,3,Score base model,14.536856600199826,"[0.5363947681037551, 0.5049741487027178, 0.46438630451769636, 0.49155581785722136]",,3,2.888060619181465,0.0012396513255567457,0.975,True,valid,15,15,15,15,15,15,,,,,,,,,,,
2,boundaries-4d,4,Pedro algorithm,0.04182120005134493,"[0.5440924718367504, 0.5570478081947704, 0.4519962530735684, 0.43515572923199813]",6,3,,,,False,degenerate_cone,,,,,,,,,,,,,,,,,
2,boundaries-4d,4,Score base model,14.91503020003438,"[0.5440924718367504, 0.5570478081947704, 0.4519962530735684, 0.43515572923199813]",,4,2.033103820892691,0.0001939976146281162,0.9833333333333333,True,valid,19,19,19,19,19,19,,,,,,,,,,,
3,redundancy-6d,0,Pedro algorithm,0.10462009988259524,"[-0.4582176748858403, 0.42880586360032247, -0.4167479231389744, 0.34142971458424476, -0.3860670918826233, 0.40848649045930835]",,1,39.38664149332159,0.04136754529055468,0.7916666666666666,True,valid,,,,,,,39.38664149332159,0.06257324514950291,0.7333333333333333,True,valid,,,,,,
3,redundancy-6d,0,Score base model,14.756140900077298,"[-0.4582176748858403, 0.42880586360032247, -0.4167479231389744, 0.34142971458424476, -0.3860670918826233, 0.40848649045930835]",,5,6.184512201388661,0.00014934233493039785,0.9833333333333333,True,valid,2,4,12,,12,,6.184512201388661,0.00019322807016967255,0.9833333333333333,True,valid,2,5,12,,12,
3,redundancy-6d,1,Pedro algorithm,0.11514210002496839,"[-0.36882952177766304, 0.47049094068360664, -0.4570977145651937, 0.35233240587723413, -0.3265862362453278, 0.4504087521386134]",,0,23.09210949122547,0.009115698374439343,0.9166666666666666,True,valid,8,8,,,,,23.09210949122547,0.011065910990638991,0.8833333333333333,True,valid,,,,,,
